ticker,period,date,price_now,avg_value,upside,quality,signal,price_future,forward_return
AAA,2022-Q1,2022-03-31,17960.0,20316.747778690664,0.13122203667542673,43.8,Watch,8920.0,-0.5033407572383074
AAA,2022-Q2,2022-06-30,10850.0,21305.83468947576,0.9636713999516829,37.3,Watch,10370.0,-0.04423963133640553
AAA,2022-Q3,2022-09-30,9500.0,18733.80829409796,0.971979820431364,35.4,Watch,8970.0,-0.05578947368421053
AAA,2022-Q4,2022-12-31,6560.0,14656.338017294887,1.2341978684900743,34.1,Watch,9070.0,0.3826219512195122
AAA,2023-Q1,2023-03-31,8920.0,15075.29337148637,0.69005531070475,45.2,Buy,10760.0,0.2062780269058296
AAA,2023-Q2,2023-06-30,10370.0,17681.26361176432,0.7050398854160386,48.6,Buy,10610.0,0.023143683702989394
AAA,2023-Q3,2023-09-30,8970.0,22678.738367506416,1.5282874434232347,55.3,Buy,9310.0,0.0379041248606466
AAA,2023-Q4,2023-12-31,9070.0,29436.444923957035,2.2454735307560125,61.2,Strong Buy,8370.0,-0.07717750826901874
AAA,2024-Q1,2024-03-31,10760.0,26580.60217667415,1.4703161874232482,60.8,Strong Buy,8140.000000000001,-0.24349442379182148
AAA,2024-Q2,2024-06-30,10610.0,27098.31604963544,1.5540354429439622,63.2,Strong Buy,7250.0,-0.3166823751178134
AAA,2024-Q3,2024-09-30,9310.0,22300.24457080012,1.3953001687218176,54.1,Buy,8200.0,-0.11922663802363051
AAA,2024-Q4,2024-12-31,8370.0,21131.248503665684,1.5246413982874174,44.2,Watch,7880.0,-0.05854241338112306
AAA,2025-Q1,2025-03-31,8140.000000000001,17564.761550332496,1.1578331142914613,43.1,Watch,7020.0,-0.13759213759213768
AAM,2022-Q1,2022-03-31,14250.0,21597.780701073323,0.5156337334086543,69.6,Strong Buy,11500.0,-0.19298245614035087
AAM,2022-Q2,2022-06-30,10860.0,30895.35501549911,1.8448761524400654,78.1,Strong Buy,10600.0,-0.02394106813996317
AAM,2022-Q3,2022-09-30,10960.0,28441.37295933076,1.5950157809608358,78.8,Strong Buy,10500.0,-0.041970802919708027
AAM,2022-Q4,2022-12-31,10770.0,15496.18707634795,0.4388288835977669,45.4,Buy,9330.0,-0.13370473537604458
AAM,2023-Q1,2023-03-31,11500.0,16964.876335012545,0.4752066378271778,45.6,Buy,9300.0,-0.19130434782608696
AAM,2023-Q2,2023-06-30,10600.0,12851.177700005694,0.21237525471751825,40.2,Watch,8250.0,-0.22169811320754718
AAM,2023-Q3,2023-09-30,10500.0,11161.150659675459,0.06296672949290084,37.4,Watch,7780.0,-0.259047619047619
AAM,2023-Q4,2023-12-31,9330.0,10635.792713434199,0.139956346563151,34.0,Watch,7300.0,-0.21757770632368703
AAM,2024-Q1,2024-03-31,9300.0,14153.0,0.5218279569892473,50.0,Buy,6860.0,-0.2623655913978495
AAM,2024-Q2,2024-06-30,8250.0,18624.0,1.2574545454545454,50.0,Buy,6720.0,-0.18545454545454546
AAM,2024-Q3,2024-09-30,7780.0,19595.5,1.5187017994858611,36.9,Watch,7100.0,-0.08740359897172237
AAM,2024-Q4,2024-12-31,7300.0,20466.8,1.8036712328767122,50.0,Buy,6900.0,-0.0547945205479452
AAM,2025-Q1,2025-03-31,7000.0,22268.85714285714,2.181265306122449,50.0,Buy,6200.0,-0.11428571428571428
AAT,2022-Q1,2022-03-31,11940.0,6643.665113682012,-0.4435791362075367,26.8,Sell,4490.0,-0.6239530988274706
AAT,2022-Q2,2022-06-30,8380.0,14934.019970514102,0.7821026217797258,49.9,Buy,5700.0,-0.3198090692124105
AAT,2022-Q3,2022-09-30,8560.0,14745.234457102617,0.7225741188203991,49.5,Buy,5200.0,-0.3925233644859813
AAT,2022-Q4,2022-12-31,4470.0,15553.406629041203,2.479509312984609,47.6,Buy,4900.0,0.09619686800894854
AAT,2023-Q1,2023-03-31,4490.0,15960.426190826576,2.5546606215649392,48.0,Buy,5250.0,0.16926503340757237
AAT,2023-Q2,2023-06-30,5700.0,6344.540870436535,0.11307734569062025,55.8,Buy,4150.0,-0.2719298245614035
AAT,2023-Q3,2023-09-30,5200.0,11705.307726597799,1.2510207166534228,64.7,Strong Buy,3600.0,-0.3076923076923077
AAT,2023-Q4,2023-12-31,4900.0,12332.360083621286,1.5168081803308748,67.8,Strong Buy,3450.0,-0.29591836734693877
AAT,2024-Q1,2024-03-31,5250.0,15429.799423779074,1.9390094140531569,65.8,Strong Buy,3230.0,-0.38476190476190475
AAT,2024-Q2,2024-06-30,4150.0,17105.949036762027,3.1219154305450667,62.1,Strong Buy,3080.0,-0.25783132530120484
AAT,2024-Q3,2024-09-30,3600.0,12390.01552266637,2.4416709785184363,63.0,Strong Buy,3790.0,0.05277777777777778
AAT,2024-Q4,2024-12-31,3480.0,12516.0,2.5965517241379312,40.4,Watch,3230.0,-0.07183908045977011
AAT,2025-Q1,2025-03-31,3230.0,13833.0,3.2826625386996904,37.8,Watch,2920.0,-0.09597523219814241
ABR,2022-Q1,2022-03-31,14110.0,12714.506951278181,-0.09890099565710977,81.4,Neutral,6230.0,-0.5584691708008505
ABR,2022-Q2,2022-06-30,9130.0,14214.127937685578,0.5568595769644664,87.6,Strong Buy,9200.0,0.007667031763417305
ABR,2022-Q3,2022-09-30,7570.0,20803.609291630266,1.748165031919454,86.8,Strong Buy,8650.0,0.142668428005284
ABR,2022-Q4,2022-12-31,6020.0,22305.80341230731,2.7052829588550344,88.9,Strong Buy,9510.0,0.579734219269103
ABR,2023-Q1,2023-03-31,6230.0,21262.257536763307,2.4128824296570315,85.1,Strong Buy,8920.0,0.4317817014446228
ABR,2023-Q2,2023-06-30,9200.0,19582.70232785443,1.1285546008537424,89.8,Strong Buy,10430.0,0.13369565217391305
ABR,2023-Q3,2023-09-30,8650.0,15313.47221516859,0.7703436086900103,79.5,Strong Buy,11920.0,0.37803468208092483
ABR,2023-Q4,2023-12-31,9510.0,16007.063180101355,0.6831822481704894,87.4,Strong Buy,10710.0,0.12618296529968454
ABR,2024-Q1,2024-03-31,8920.0,19819.696933015064,1.2219391180510162,88.7,Strong Buy,10080.0,0.13004484304932734
ABR,2024-Q2,2024-06-30,10430.0,14467.119802483534,0.38706805392938964,75.8,Strong Buy,11500.0,0.10258868648130393
ABR,2024-Q3,2024-09-30,11920.0,15212.434506738775,0.27621094855191064,53.1,Buy,14950.0,0.25419463087248323
ABR,2024-Q4,2024-12-31,10200.0,10925.244921499449,0.07110244328425966,66.5,Watch,12900.0,0.2647058823529412
ABR,2025-Q1,2025-03-31,10080.0,14316.73349734945,0.4203108628322868,54.4,Buy,12800.0,0.2698412698412698
ABS,2022-Q1,2022-03-31,23350.0,11457.696576550472,-0.5093063564646478,32.9,Strong Sell,5700.0,-0.7558886509635975
ABS,2022-Q2,2022-06-30,10280.0,11777.570680127266,0.14567808172444224,33.9,Watch,6850.0,-0.3336575875486381
